,INSCRICAO,ENDEREÇO IMOVEL,CONTRIBUINTE,CLASSIFICACAO,BENEFICIO,geocode_result
10,163552-2,R  JOSE BASTOS 3919  DAMAS FORTALEZA - CE CEP:60442108,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': 'Avenida José Bastos', 'short_name': 'Av. José Bastos', 'types': ['route']}, {'long_name': 'Damas', 'short_name': 'Damas', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60010-681', 'short_name': '60010-681', 'types': ['postal_code']}], 'formatted_address': 'Av. José Bastos - Damas, Fortaleza - CE, 60010-681, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7534443, 'lng': -38.5534958}, 'southwest': {'lat': -3.75388, 'lng': -38.55394709999999}}, 'location': {'lat': -3.7537702, 'lng': -38.5538192}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -3.752313169708497, 'lng': -38.55237246970849}, 'southwest': {'lat': -3.755011130291502, 'lng': -38.55507043029149}}}, 'place_id': 'ChIJkayJxWhJxwcRX1UV6KUmx7Q', 'types': ['route']}]"
11,163557-3,R  MATOS VASCONCELLOS 890  DAMAS FORTALEZA - CE CEP:60440018,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '890', 'short_name': '890', 'types': ['street_number']}, {'long_name': 'Rua Matos Vasconcelos', 'short_name': 'R. Matos Vasconcelos', 'types': ['route']}, {'long_name': 'Damas', 'short_name': 'Damas', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60426-105', 'short_name': '60426-105', 'types': ['postal_code']}], 'formatted_address': 'R. Matos Vasconcelos, 890 - Damas, Fortaleza - CE, 60426-105, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7531198, 'lng': -38.5524032}, 'southwest': {'lat': -3.7532866, 'lng': -38.552583}}, 'location': {'lat': -3.7532015, 'lng': -38.5524908}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.751854219708498, 'lng': -38.5511441197085}, 'southwest': {'lat': -3.754552180291502, 'lng': -38.5538420802915}}}, 'place_id': 'ChIJRwUETUFJxwcRYV59P1zaQg4', 'types': ['premise']}]"
12,3131-3,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': 'Avenida Bezerra de Menezes', 'short_name': 'Av. Bezerra de Menezes', 'types': ['route']}, {'long_name': 'São Gerardo', 'short_name': 'São Gerardo', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}], 'formatted_address': 'Av. Bezerra de Menezes - São Gerardo, Fortaleza - CE, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.732093799999999, 'lng': -38.5480587}, 'southwest': {'lat': -3.7361647, 'lng': -38.5655768}}, 'location': {'lat': -3.7339243, 'lng': -38.556584}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -3.732093799999999, 'lng': -38.5480587}, 'southwest': {'lat': -3.7361647, 'lng': -38.5655768}}}, 'partial_match': True, 'place_id': 'Ej1Bdi4gQmV6ZXJyYSBkZSBNZW5lemVzIC0gU8OjbyBHZXJhcmRvLCBGb3J0YWxlemEgLSBDRSwgQnJhemlsIi4qLAoUChIJGztZFnZJxwcRnJuPzxuDgjASFAoSCZOL9713SccHEe2qbg636vUH', 'types': ['route']}]"
13,146018-8,R  NESTOR BARBOSA 315  AMADEU FURTADO FORTALEZA - CE CEP:60455610,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '315', 'short_name': '315', 'types': ['street_number']}, {'long_name': 'Rua Nestor Barbosa', 'short_name': 'R. Nestor Barbosa', 'types': ['route']}, {'long_name': 'Parquelândia', 'short_name': 'Parquelândia', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '61602-310', 'short_name': '61602-310', 'types': ['postal_code']}], 'formatted_address': 'R. Nestor Barbosa, 315 - Parquelândia, Fortaleza - CE, 61602-310, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7446879, 'lng': -38.5581373}, 'southwest': {'lat': -3.7448014, 'lng': -38.5583998}}, 'location': {'lat': -3.7447461, 'lng': -38.5582749}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.743395669708498, 'lng': -38.5569195697085}, 'southwest': {'lat': -3.746093630291503, 'lng': -38.5596175302915}}}, 'place_id': 'ChIJHXJkVG9JxwcRYbPy9n5ypvA', 'types': ['premise']}]"
14,45028-6,AV  DO IMPERADOR 1490  FARIAS BRITO FORTALEZA - CE CEP:60015052,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '1490', 'short_name': '1490', 'types': ['street_number']}, {'long_name': 'Avenida Imperador', 'short_name': 'Avenida Imperador', 'types': ['route']}, {'long_name': 'Centro', 'short_name': 'Centro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60015-052', 'short_name': '60015-052', 'types': ['postal_code']}], 'formatted_address': 'Avenida Imperador, 1490 - Centro, Fortaleza - CE, 60015-052, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.733841, 'lng': -38.5366429}, 'southwest': {'lat': -3.7343183, 'lng': -38.5371533}}, 'location': {'lat': -3.7340355, 'lng': -38.5369203}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.732730669708498, 'lng': -38.53554911970851}, 'southwest': {'lat': -3.735428630291503, 'lng': -38.53824708029151}}}, 'place_id': 'ChIJ_e6V8AdJxwcR4pKsDeKEfGw', 'types': ['premise']}]"
15,119778-9,R  12 (CONJ. NOVA ASSUNCAO) 111  VILA VELHA FORTALEZA - CE CEP:60347770,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': 'Avenida L Cj Nova Assunção', 'short_name': 'Avenida L Cj Nova Assunção', 'types': ['establishment', 'point_of_interest', 'transit_station']}, {'long_name': 'Vila Velha', 'short_name': 'Vila Velha', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60347-540', 'short_name': '60347-540', 'types': ['postal_code']}], 'formatted_address': 'Avenida L Cj Nova Assunção - Vila Velha, Fortaleza - CE, 60347-540, Brazil', 'geometry': {'location': {'lat': -3.711898, 'lng': -38.5994}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -3.710549019708498, 'lng': -38.5980510197085}, 'southwest': {'lat': -3.713246980291502, 'lng': -38.6007489802915}}}, 'partial_match': True, 'place_id': 'ChIJbcemjWhKxwcRgDniFHllx9A', 'plus_code': {'compound_code': '7CQ2+66 Fortaleza - Zone 1, Fortaleza - State of Ceará, Brazil', 'global_code': '69837CQ2+66'}, 'types': ['establishment', 'point_of_interest', 'transit_station']}]"
16,191743-9,R PRO HERIBALDO COSTA 680  HENRIQUE JORGE FORTALEZA - CE CEP:60521055,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '680', 'short_name': '680', 'types': ['street_number']}, {'long_name': 'Rua Professor Heribaldo Costa', 'short_name': 'Rua Professor Heribaldo Costa', 'types': ['route']}, {'long_name': 'João XXIII', 'short_name': 'João XXIII', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60521-055', 'short_name': '60521-055', 'types': ['postal_code']}], 'formatted_address': 'Rua Professor Heribaldo Costa, 680 - João XXIII, Fortaleza - CE, 60521-055, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7584408, 'lng': -38.5832114}, 'southwest': {'lat': -3.7586134, 'lng': -38.583389}}, 'location': {'lat': -3.7585135, 'lng': -38.5832925}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.757178119708498, 'lng': -38.58195121970849}, 'southwest': {'lat': -3.759876080291503, 'lng': -38.58464918029149}}}, 'place_id': 'ChIJM2vgEvFLxwcRLHCQkTGSOGs', 'types': ['premise']}]"
17,310358-7,R  ALFA (LAGOA REDONDA)   SN LAGOA REDONDA FORTALEZA - CE CEP:60831745,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '1341', 'short_name': '1341', 'types': ['street_number']}, {'long_name': 'Rua Alfa', 'short_name': 'R. Alfa', 'types': ['route']}, {'long_name': 'Lagoa Redonda', 'short_name': 'Lagoa Redonda', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60810-670', 'short_name': '60810-670', 'types': ['postal_code']}], 'formatted_address': '1361 - R. Alfa, 1341 - Lagoa Redonda, Fortaleza - CE, 60810-670, Brazil', 'geometry': {'location': {'lat': -3.840391, 'lng': -38.4668297}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.839042019708498, 'lng': -38.46548071970849}, 'southwest': {'lat': -3.841739980291502, 'lng': -38.46817868029149}}}, 'place_id': 'ChIJqbWIKLRaxwcRVHoBZ2aDFqk', 'plus_code': {'compound_code': '5G5M+R7 Fortaleza - State of Ceará, Brazil', 'global_code': '69835G5M+R7'}, 'types': ['establishment', 'point_of_interest']}]"
18,40171-4,R CAP GUSTAVO 3940  SÃO JOÃO DO TAUAPE FORTALEZA - CE CEP:60120075,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '3940', 'short_name': '3940', 'types': ['street_number']}, {'long_name': 'Rua Capitão Gustavo', 'short_name': 'Rua Capitão Gustavo', 'types': ['route']}, {'long_name': 'Joaquim Távora (Fortaleza)', 'short_name': 'Joaquim Távora (Fortaleza)', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60120-075', 'short_name': '60120-075', 'types': ['postal_code']}], 'formatted_address': 'Rua Capitão Gustavo, 3940 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60120-075, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7558877, 'lng': -38.5166766}, 'southwest': {'lat': -3.7560319, 'lng': -38.5168189}}, 'location': {'lat': -3.7559503, 'lng': -38.5167492}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.754610819708498, 'lng': -38.51539876970849}, 'southwest': {'lat': -3.757308780291502, 'lng': -38.51809673029149}}}, 'place_id': 'ChIJ03uOS9tIxwcR4YdAQEVssNc', 'types': ['premise']}]"
19,16439-9,AV  DA UNIVERSIDADE 2974  BENFICA FORTALEZA - CE CEP:60020181,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '2974', 'short_name': '2974', 'types': ['street_number']}, {'long_name': 'Avenida da Universidade', 'short_name': 'Av. da Universidade', 'types': ['route']}, {'long_name': 'Benfica', 'short_name': 'Benfica', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60020-181', 'short_name': '60020-181', 'types': ['postal_code']}], 'formatted_address': 'Av. da Universidade, 2974 - Benfica, Fortaleza - CE, 60020-181, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7420447, 'lng': -38.5405047}, 'southwest': {'lat': -3.7421415, 'lng': -38.5406005}}, 'location': {'lat': -3.7420931, 'lng': -38.5405526}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.740744119708498, 'lng': -38.5392036197085}, 'southwest': {'lat': -3.743442080291502, 'lng': -38.5419015802915}}}, 'place_id': 'ChIJ5-Bt0RFJxwcRTd4P9PLeSgk', 'types': ['premise']}]"
20,369434-8,AV GAL OSORIO DE PAIVA   SN CANINDEZINHO FORTALEZA - CE CEP:60731335,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': 'Avenida Gal Osorio de Paiva, sn', 'short_name': 'Avenida Gal Osorio de Paiva, sn', 'types': ['establishment', 'point_of_interest', 'transit_station']}, {'long_name': 'Bom Jardim', 'short_name': 'Bom Jardim', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60542-122', 'short_name': '60542-122', 'types': ['postal_code']}], 'formatted_address': 'Avenida Gal Osorio de Paiva, sn - Bom Jardim, Fortaleza - CE, 60542-122, Brazil', 'geometry': {'location': {'lat': -3.794173, 'lng': -38.59173}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -3.792824019708497, 'lng': -38.5903810197085}, 'southwest': {'lat': -3.795521980291502, 'lng': -38.5930789802915}}}, 'place_id': 'ChIJVSmz9kpMxwcRj7OXcEW0kIk', 'plus_code': {'compound_code': '6C45+88 Fortaleza - Zone 1, Fortaleza - State of Ceará, Brazil', 'global_code': '69836C45+88'}, 'types': ['establishment', 'point_of_interest', 'transit_station']}]"
21,200703-7,TV  ACRE 50  PAN AMERICANO FORTALEZA - CE CEP:60440780,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '50', 'short_name': '50', 'types': ['street_number']}, {'long_name': 'Travessa Acre', 'short_name': 'Tv. Acre', 'types': ['route']}, {'long_name': 'Panamericano', 'short_name': 'Panamericano', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60440-780', 'short_name': '60440-780', 'types': ['postal_code']}], 'formatted_address': 'Tv. Acre, 50 - Panamericano, Fortaleza - CE, 60440-780, Brazil', 'geometry': {'location': {'lat': -3.7566919, 'lng': -38.5627337}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.755342919708498, 'lng': -38.5613847197085}, 'southwest': {'lat': -3.758040880291502, 'lng': -38.5640826802915}}}, 'place_id': 'ChIJ4xm5C1pJxwcRrcmlcOWBKY0', 'plus_code': {'compound_code': '6CVP+8W Panamericano, Fortaleza - CE, Brazil', 'global_code': '69836CVP+8W'}, 'types': ['street_address']}]"
22,30118-3,R  PAULA RODRIGUES 100  FÁTIMA FORTALEZA - CE CEP:60411270,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '100', 'short_name': '100', 'types': ['street_number']}, {'long_name': 'Rua Paula Rodrigues', 'short_name': 'R. Paula Rodrigues', 'types': ['route']}, {'long_name': 'Fátima', 'short_name': 'Fátima', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60411-270', 'short_name': '60411-270', 'types': ['postal_code']}], 'formatted_address': 'R. Paula Rodrigues, 100 - Fátima, Fortaleza - CE, 60411-270, Brazil', 'geometry': {'location': {'lat': -3.753043299999999, 'lng': -38.5266275}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.751694319708498, 'lng': -38.5252785197085}, 'southwest': {'lat': -3.754392280291502, 'lng': -38.5279764802915}}}, 'place_id': 'ChIJt0ITe99IxwcRXrhAx0ep9XE', 'plus_code': {'compound_code': '6FWF+Q8 Fatima, Fortaleza - State of Ceará, Brazil', 'global_code': '69836FWF+Q8'}, 'types': ['street_address']}]"
23,99474-0,AV  DAS GRAVIOLAS 175  A CIDADE 2000 FORTALEZA - CE CEP:60190600,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '175', 'short_name': '175', 'types': ['street_number']}, {'long_name': 'Avenida das Graviolas', 'short_name': 'Av. das Graviolas', 'types': ['route']}, {'long_name': 'Cidade 2000', 'short_name': 'Cidade 2000', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60190-600', 'short_name': '60190-600', 'types': ['postal_code']}], 'formatted_address': 'Av. das Graviolas, 175 - Cidade 2000, Fortaleza - CE, 60190-600, Brazil', 'geometry': {'location': {'lat': -3.7518745, 'lng': -38.4737041}, 'location_type': 'RANGE_INTERPOLATED', 'viewport': {'northeast': {'lat': -3.750525519708498, 'lng': -38.4723551197085}, 'southwest': {'lat': -3.753223480291502, 'lng': -38.4750530802915}}}, 'place_id': 'EkdBdi4gZGFzIEdyYXZpb2xhcywgMTc1IC0gQ2lkYWRlIDIwMDAsIEZvcnRhbGV6YSAtIENFLCA2MDE5MC02MDAsIEJyYXppbCIbEhkKFAoSCQOn0zo9RscHEVe3170KfopJEK8B', 'types': ['street_address']}]"
24,112449-8,R  BARRA VERMELHA   SN GRANJA LISBOA FORTALEZA - CE CEP:60540472,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': 'Rua Barra Vermelha', 'short_name': 'R. Barra Vermelha', 'types': ['route']}, {'long_name': 'Granja Lisboa', 'short_name': 'Granja Lisboa', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}], 'formatted_address': 'R. Barra Vermelha - Granja Lisboa, Fortaleza - CE, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.77557, 'lng': -38.6110264}, 'southwest': {'lat': -3.7951312, 'lng': -38.6188955}}, 'location': {'lat': -3.7855545, 'lng': -38.6141394}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -3.77557, 'lng': -38.6110264}, 'southwest': {'lat': -3.7951312, 'lng': -38.6188955}}}, 'partial_match': True, 'place_id': 'ChIJze2NEvdMxwcRlAw6t58m01Q', 'types': ['route']}]"
25,191861-3,R PRO MIRAMAR DA PONTE 150  HENRIQUE JORGE FORTALEZA - CE CEP:60521065,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': 'Rua Professor Miramar da Ponte', 'short_name': 'Rua Professor Miramar da Ponte', 'types': ['route']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}], 'formatted_address': 'Rua Professor Miramar da Ponte, Fortaleza - CE, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.7517674, 'lng': -38.5795405}, 'southwest': {'lat': -3.7696999, 'lng': -38.5900375}}, 'location': {'lat': -3.7606194, 'lng': -38.5851776}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -3.7517674, 'lng': -38.5795405}, 'southwest': {'lat': -3.7696999, 'lng': -38.5900375}}}, 'partial_match': True, 'place_id': 'ChIJYdjEGPRLxwcRE-t7qbwinGA', 'types': ['route']}]"
26,283188-0,AV  JUSCELINO KUBITSCHEK   SN-1 PASSARÉ FORTALEZA - CE CEP:60861635,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': 'Avenida Presidente Juscelino Kubitschek', 'short_name': 'Av. Pres. Juscelino Kubitschek', 'types': ['route']}, {'long_name': '1-2147483647', 'short_name': '1-2147483647', 'types': ['street_number']}, {'long_name': 'Passaré', 'short_name': 'Passaré', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60861-635', 'short_name': '60861-635', 'types': ['postal_code']}], 'formatted_address': 'Av. Pres. Juscelino Kubitschek, 1-2147483647 - Passaré, Fortaleza - CE, 60861-635, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.8074119, 'lng': -38.5252306}, 'southwest': {'lat': -3.813191099999999, 'lng': -38.5288303}}, 'location': {'lat': -3.8097291, 'lng': -38.52679330000001}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -3.8074119, 'lng': -38.5252306}, 'southwest': {'lat': -3.813191099999999, 'lng': -38.5288303}}}, 'partial_match': True, 'place_id': 'EltBdi4gUHJlcy4gSnVzY2VsaW5vIEt1Yml0c2NoZWsgLSAxLTIxNDc0ODM2NDcgLSBQYXNzYXLDqSwgRm9ydGFsZXphIC0gQ0UsIDYwODYxLTYzNSwgQnJhemlsIi4qLAoUChIJF9Fv4TVOxwcRC31YPoRe1UwSFAoSCU0t6CszTscHEQzJOGL8Vzqe', 'types': ['route']}]"
27,3130-5,AV  BEZERRA DE MENEZES   SN SÃO GERARDO FORTALEZA - CE CEP:60325001,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': 'Avenida Bezerra de Menezes', 'short_name': 'Av. Bezerra de Menezes', 'types': ['route']}, {'long_name': 'São Gerardo', 'short_name': 'São Gerardo', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}], 'formatted_address': 'Av. Bezerra de Menezes - São Gerardo, Fortaleza - CE, Brazil', 'geometry': {'bounds': {'northeast': {'lat': -3.732093799999999, 'lng': -38.5480587}, 'southwest': {'lat': -3.7361647, 'lng': -38.5655768}}, 'location': {'lat': -3.7339243, 'lng': -38.556584}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -3.732093799999999, 'lng': -38.5480587}, 'southwest': {'lat': -3.7361647, 'lng': -38.5655768}}}, 'partial_match': True, 'place_id': 'Ej1Bdi4gQmV6ZXJyYSBkZSBNZW5lemVzIC0gU8OjbyBHZXJhcmRvLCBGb3J0YWxlemEgLSBDRSwgQnJhemlsIi4qLAoUChIJGztZFnZJxwcRnJuPzxuDgjASFAoSCZOL9713SccHEe2qbg636vUH', 'types': ['route']}]"
28,18595-7,AV DOM MANUEL 339  CENTRO FORTALEZA - CE CEP:60060090,ARQUIDIOCESE DE FORTALEZA,Imunidade,Templos Religiosos,"[{'address_components': [{'long_name': '339', 'short_name': '339', 'types': ['street_number']}, {'long_name': 'Avenida Dom Manuel', 'short_name': 'Av. Dom Manuel', 'types': ['route']}, {'long_name': 'Centro', 'short_name': 'Centro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Fortaleza', 'short_name': 'Fortaleza', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Ceará', 'short_name': 'CE', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '60060-090', 'short_name': '60060-090', 'types': ['postal_code']}], 'formatted_address': 'Av. Dom Manuel, 339 - Centro, Fortaleza - CE, 60060-090, Brazil', 'geometry': {'location': {'lat': -3.7271946, 'lng': -38.5205843}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -3.725845619708497, 'lng': -38.5192353197085}, 'southwest': {'lat': -3.728543580291502, 'lng': -38.52193328029149}}}, 'place_id': 'ChIJMahW6FFIxwcRqZuBNLm3-x4', 'plus_code': {'compound_code': '7FFH+4Q Centro, Fortaleza - State of Ceará, Brazil', 'global_code': '69837FFH+4Q'}, 'types': ['street_address']}]"
