,inscricao,contribuinte,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
674,297361-8,IGREJA UNIVERSAL DO REINO DE DEUS,R CON DE CASTRO 3700  PARQUE SÃO JOSÉ FORTALEZA - CE CEP:60730202,Evangélicas,-3.7995285,-38.5870892,Vila Peri,Parque São José,86
675,515634-3,IGREJA UNIVERSAL DO REINO DE DEUS,AV  TRISTAO GONCALVES 637  CENTRO FORTALEZA - CE CEP:60015000,Evangélicas,-3.7276029,-38.533091,Centro,Centro,10
676,297306-5,IGREJA UNIVERSAL DO REINO DE DEUS,R  BERNARDO   Q018 SN PREFEITO JOSÉ WALTER FORTALEZA - CE CEP:60000000,Evangélicas,-3.8324922,-38.5529854,Prefeito José Walter,Prefeito José Walter,89
677,256123-9,IGREJA UNIVERSAL DO REINO DE DEUS,R  LEON GRADVOHL 500  JARDIM CEARENSE FORTALEZA - CE CEP:60712152,Evangélicas,-3.7983048,-38.5667905,Jardim Cearense,Jardim Cearense,80
678,228577-0,IGREJA UNIVERSAL DO REINO DE DEUS,AV  JOAO PESSOA 6745  PARANGABA FORTALEZA - CE CEP:60721340,Evangélicas,-3.7700585,-38.5608678,Damas,Parangaba,105
679,90469-4,IGREJA UNIVERSAL DO REINO DE DEUS,AV  FRANCISCO SA 4355  ÁLVARO WEYNE FORTALEZA - CE CEP:60335195,Evangélicas,-3.7153169,-38.5638655,Jacarecanga,Álvaro Weyne,3
680,305523-0,IGREJA UNIVERSAL DO REINO DE DEUS,AV DEP CASTELO DE CASTRO 2359  CONJUNTO PALMEIRAS FORTALEZA - CE CEP:60870065,Evangélicas,-3.8477939,-38.5222171,Jangurussu,Conjunto Palmeiras,117
681,271551-1,IGREJA UNIVERSAL DO REINO DE DEUS,R PDE PEDRO DE ALENCAR 61  MESSEJANA FORTALEZA - CE CEP:60840280,Evangélicas,-3.8280528,-38.4931229,Messejana,Messejana,65
682,610505-0,IGREJA UNIVERSAL DO REINO DE DEUS,R  08 DO CONJUNTO JOAO PAULO II 166  BARROSO FORTALEZA - CE CEP:60863810,Evangélicas,-3.8246529,-38.5199065,Barroso,Barroso,51
683,130365-1,IGREJA UNIVERSAL DO REINO DE DEUS,R  AMOR PERFEITO 315  JARDIM IRACEMA FORTALEZA - CE CEP:60330490,Evangélicas,-3.717807,-38.582405,Jardim Iracema,Jardim Iracema,21
684,557941-4,IGREJA UNIVERSAL DO REINO DE DEUS,AV  TRISTAO GONCALVES 613  SUBSOLO CENTRO FORTALEZA - CE CEP:60015000,Evangélicas,-3.7275497,-38.5329822,Centro,Centro,10
685,165664-3,INSPETORIA MARIA AUXILIADORA,R  OSWALDO ARANHA 31  PARANGABA FORTALEZA - CE CEP:60720840,Sem Definição,-3.783159399999999,-38.5720563,Parangaba,Parangaba,105
686,16445-3,INSTITUICAO ESPIRITA NOSSO LAR,R DOM JERONIMO 2380  BENFICA FORTALEZA - CE CEP:60015355,Espírita,-3.7364705,-38.5428004,Não identificado,Farias Brito,15
687,16506-9,INSTITUICAO ESPIRITA NOSSO LAR,R  CARAPINIMA 2424  BENFICA FORTALEZA - CE CEP:60015290,Espírita,-3.7406511,-38.541236,Benfica,Benfica,7
688,45405-2,INSTITUICAO RELIGIOSA PERFECT LIBERT,R  ANTONIO POMPEU 999  BENFICA FORTALEZA - CE CEP:60040001,Outras religiosidades,-3.7344002,-38.53263219999999,Centro,Benfica,7
689,67100-2,INSTITUTO BOM PASTOR,R  ANTONIO BANDEIRA   TV JACARECANGA FORTALEZA - CE CEP:60010660,Católica Apostólica Romana,-3.722897,-38.5442657,Jacarecanga,Jacarecanga,18
690,643751-6,INSTITUTO DAS FILHAS DE SANT'ANA-NORTE - INFISA-N,AV ENG HUMBERTO MONTE 2810  ALTOS PARQUELÂNDIA FORTALEZA - CE CEP:60455372,Sem Definição,-3.738587099999999,-38.568987,Bela Vista,Parquelândia,29
691,643750-8,INSTITUTO DAS FILHAS DE SANT'ANA-NORTE - INFISA-N,AV ENG HUMBERTO MONTE 2810  PARQUELÂNDIA FORTALEZA - CE CEP:60455372,Sem Definição,-3.738587099999999,-38.568987,Bela Vista,Parquelândia,29
692,680394-6,INSTITUTO DAS IRMAS MISSIONARIAS DE NOSSA SENHORA DAS DORES,R MAD ANA COUTO 325  A MESSEJANA FORTALEZA - CE CEP:60842390,Católica Apostólica Romana,-3.8192128,-38.4984555,Messejana,Messejana,65
693,301524-6,INSTITUTO DAS IRMAS MISSIONARIAS DE NOSSA SENHORA DAS DORES,R MAD ANA COUTO 325  MESSEJANA FORTALEZA - CE CEP:60842390,Católica Apostólica Romana,-3.8192128,-38.4984555,Messejana,Messejana,65
694,296140-7,INSTITUTO DAS MENSAGEIRAS DE SANTA MARIA,R  OSCAR LEITAO 377  PAUPINA FORTALEZA - CE CEP:60872685,Católica Apostólica Romana,-3.837693999999999,-38.4907218,Messejana,Paupina,68
695,971-7,INSTITUTO DE FORMACAO E ASSISTENCIA SOCIAL,R  JOSE SOMBRA 440  PARQUE ARAXÁ FORTALEZA - CE CEP:60450610,Sem Definição,-3.736237,-38.5467882,Parque Araxá,Parque Araxá,28
696,327330-0,INSTITUTO HESED D IR E IRMAS DA S CRUZ BAV MA DO M CARMELO,AV  DIONISIO ALENCAR   VAZIO JANGURUSSU FORTALEZA - CE CEP:60870576,Católica Apostólica Romana,-3.8497649,-38.5042676,Jangurussu,Jangurussu,61
697,322294-2,INSTITUTO HESED D IR E IRMAS DA S CRUZ BAV MA DO M CARMELO,AV  DIONISIO ALENCAR 1443  JANGURUSSU FORTALEZA - CE CEP:60873073,Católica Apostólica Romana,-3.8471575,-38.502792,Ancuri,Parque Santa Maria,102
698,80318-9,INSTITUTO JOSEFINO,R PDE ANCHIETA 438  MONTE CASTELO FORTALEZA - CE CEP:60325505,Católica Apostólica Romana,-3.7237181,-38.5511985,Jacarecanga,Monte Castelo,25
699,284905-4,INSTITUTO JOSEFINO,R CEL GUILHERME ALENCAR 121  MESSEJANA FORTALEZA - CE CEP:60840340,Católica Apostólica Romana,-3.8313506,-38.491664,Messejana,Messejana,65
700,271492-2,INSTITUTO JOSEFINO,AV FRE CIRILO 2915  PARQUE IRACEMA FORTALEZA - CE CEP:60840285,Católica Apostólica Romana,-3.8102233,-38.5000618,Parque Iracema,Parque Iracema,66
701,17818-7,INSTITUTO JOSEFINO,R  J DA PENHA 46  CENTRO FORTALEZA - CE CEP:60110120,Católica Apostólica Romana,-3.7314244,-38.5186989,Centro,Centro,10
702,54253-9,INSTITUTO MARIA IMACULADA,AV SEN VIRGILIO TAVORA 1751  ALDEOTA FORTALEZA - CE CEP:60170079,Católica Apostólica Romana,-3.7417166,-38.4944761,Dionísio Torres,Aldeota,2
703,54249-0,INSTITUTO MARIA IMACULADA,AV PDE ANTONIO TOMAS 2035  ALDEOTA FORTALEZA - CE CEP:60140155,Católica Apostólica Romana,-3.7416714,-38.4941934,Cocó,Aldeota,2
704,79469-4,IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORTALEZA,R BAR DO RIO BRANCO 20  CENTRO FORTALEZA - CE CEP:60025060,Católica Apostólica Romana,-3.7224303,-38.527605,Centro,Centro,10
