,Unnamed: 0,inscricao,razao_social,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
148,149,119434-8,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R PRO RAIMUNDO GOMES 515  VILA VELHA FORTALEZA - CE CEP:60347165,Outras religiosidades,-37.136.297,-385.929.587,Jardim Guanabara,Vila Velha,39
149,150,274413-9,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,R SAO FRANCISCO 341  BOM JARDIM FORTALEZA - CE CEP:60545064,Outras religiosidades,-37.992.832,-386.004.801,Jardim Jatobá,Bom Jardim,72
150,151,319666-6,ASSOCIACAO BIBLICA E CULTURAL DE FORTALEZA,AV PIN ANTONIO BANDEIRA 990  VICENTE PINZON FORTALEZA - CE CEP:60182304,Outras religiosidades,-37.264.197,-384.630.985,Vicente Pinzon,Vicente Pinzón,37
151,152,253932-2,ASSOCIACAO BIBLICA E CULTURAL DE MARACANAU,R  CARAMURU 269  SERRINHA FORTALEZA - CE CEP:60742175,Outras religiosidades,-37.891.102,-385.410.687,Itaperi,Serrinha,107
152,153,403886-0,ASSOCIACAO BIBLICA E CULTURAL DE MARACANAU,AV PRO JOSE ARTHUR DE CARVALHO 2605  LAGOA REDONDA FORTALEZA - CE CEP:60831370,Outras religiosidades,-38.235.991,-384.563.999,Lagoa Redonda,Lagoa Redonda,63
153,154,355023-0,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  SIMAO SANTOS 421  PAUPINA FORTALEZA - CE CEP:60875020,Outras religiosidades,-38.627.006,-384.932.315,São Bento,Paupina,68
154,155,602505-6,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  ALEXANDRE BARAUNA 80  IGREJA JARDIM AMÉRICA FORTALEZA - CE CEP:60416130,Outras religiosidades,-37.534.144,-385.453.522,Rodolfo Teófilo,Jardim América,19
155,156,366516-0,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  ALBERTO JUNIOR 79  EDSON QUEIROZ FORTALEZA - CE CEP:60811655,Outras religiosidades,-3.774.772,-384.789.553,Edson Queiroz,Edson Queiroz,57
156,157,51324-5,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  JAIME BENEVOLO 875  JOSÉ BONIFÁCIO FORTALEZA - CE CEP:60050081,Outras religiosidades,-37.398.909,-385.277.076,José Bonifacio,José Bonifácio,23
157,158,100348-8,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  BENTO ALBUQUERQUE 2265  COCÓ FORTALEZA - CE CEP:60192050,Outras religiosidades,-37.483.336,-384.680.299,Cocó,Cocó,11
158,159,454308-4,ASSOCIACAO BIBLICA E CULTURAL DO REINO MILENAR,R  JOAQUIM FELICIO 1881  GUAJERU FORTALEZA - CE CEP:60843260,Outras religiosidades,-38.317.364,-384.783.921,Guajerú,Guajeru,59
159,160,258437-9,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,AV  BENJAMIM BRASIL 618  MONDUBIM FORTALEZA - CE CEP:60711442,Outras religiosidades,-38.049.575,-385.676.269,Jardim Cearense,Mondubim,83
160,161,138392-2,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R  ANTONIO LAFAYETTE 180  PRESIDENTE KENNEDY FORTALEZA - CE CEP:60356140,Outras religiosidades,-3.734.119.199.999.990,-385.744.964,Presidente Kennedy,Presidente Kennedy,33
161,162,177527-8,ASSOCIACAO BIBLICA E CULTURAL NOVA ORDEM DE DEUS,R TEN WILSON 465  ALTO DA BALANÇA FORTALEZA - CE CEP:60850810,Outras religiosidades,-37.691.051,-385.127.984,Aerolândia,Alto da Balança,93
